"","x","y"
"461",460,-25259966019.5756
"105",104,-27790619461.7976
"484",483,323817345424.955
"803",802,76853164188.2172
"451",450,22281804924.7223
"114",113,-24690926610.9672
"359",358,-100567605565.278
"328",327,-233592200324.922
"690",689,328504425722.912
"667",666,338626221889.753
"725",724,298032614639.302
"509",508,-29934100577.0008
"605",604,209737025830.72
"42",41,155500020381.315
"773",772,3543120890.99841
"668",667,350781667602.039
"678",677,129293027312.402
"553",552,65389521461.8777
"574",573,69744689893.4921
"978",977,783257637663.322
"466",465,56544030701.0846
"366",365,115786798369.882
"659",658,185664814049.98
"387",386,42400787537.6403
"500",499,265468526099.892
"934",933,906788173496.207
"80",79,-228135718031.272
"617",616,575565256971.946
"54",53,-106336609330.548
"241",240,-337627262104.471
"694",693,345231972242.328
"134",133,-56971582483.5778
"761",760,538317660700.263
"76",75,85953796557.1711
"866",865,397819191384.599
"280",279,-258823883022.568
"480",479,271043243407.41
"239",238,-305648872909.106
"270",269,97617818036.9991
"564",563,-14439722363.6784
"217",216,-267144366218.316
"849",848,229410326792.675
"570",569,440974647460.826
"817",816,215273696084.191
"126",125,-104452573319.18
"945",944,563328719050.946
"950",949,759923325510.23
"427",426,103573915914.827
"930",929,715614977690.509
"223",222,-84781729264.2579
"159",158,-147323468239.327
"19",18,267740120279.876
"154",153,-47570195435.0358
"283",282,130148724827.588
"507",506,-40222729447.2278
"531",530,-60684415215.827
"706",705,442508146223.161
"135",134,-345560326731.539
"238",237,-147075889291.988
"583",582,-69560087125.0049
"205",204,-274358746690.75
"368",367,51267147316.1104
"391",390,110311327543.859
"954",953,882713336876.484
"986",985,964140399917.742
"348",347,184710472353.031
"802",801,561086071093.343
"829",828,472914376729.353
"211",210,437950235715.664
"92",91,-8815720753.10606
"791",790,789978764491.274
"220",219,272725448567.392
"573",572,209943014025.481
"456",455,-48469719163.2469
"160",159,130096463044.128
"100",99,-149457022031.553
"62",61,331202552990.447
"329",328,264218577783.589
"462",461,60549038105.4772
"633",632,-179478447045.168
"833",832,667859016439.015
"1000",999,1294430152135.89
"981",980,639631727827.729
"758",757,430343045011.946
"204",203,53344953431.502
"989",988,699674081048.822
"1",0,-35780149933.0323
"332",331,-67366813657.3485
"664",663,127311140643.311
"132",131,12141054193.358
"788",787,204081625427.225
"108",107,504899677171.981
"336",335,75971313663.8709
"677",676,354536178561.202
"528",527,244981583616.882
"753",752,437472312693.405
"545",544,-56849381430.9235
"146",145,-268829394173.445
"218",217,99493411513.5757
"389",388,215835776630.24
"967",966,1122500403802.1
"347",346,38441598708.0296
"343",342,-156974356084.394
"133",132,-32663875297.0842
"463",462,-178923108575.653
"692",691,440262032653.76
"537",536,-91816577780.1261
"203",202,-43389034390.8562
"109",108,288290503243.82
"601",600,327071838520.276
"9",8,279070452756.596
"372",371,87681370601.6024
"266",265,147950464017.656
"483",482,108908720851.438
"95",94,-373439756963.956
"776",775,459992393429.503
"339",338,-31090671154.5704
"794",793,506410675594.563
"198",197,73488509010.4805
"70",69,-41224679765.1202
"897",896,351556419714.247
"89",88,-191110432692.246
"541",540,92896478349.3013
"969",968,473226693833.596
"208",207,-136856235977.041
"593",592,-116622088489.108
"156",155,2377421624.24014
"219",218,-67042289964.5921
"789",788,445538329962.426
"193",192,-156140834597.007
"920",919,1046271354055.87
"174",173,13099551275.9657
"177",176,-242912735518.495
"911",910,722620892988.243
"196",195,271134553890.035
"317",316,372949267951.191
"90",89,339029622083.926
"768",767,602286464601.3
"517",516,-239277257402.306
"140",139,-10040369961.1363
"281",280,270102541602.829
"916",915,782448003665.474
"764",763,199599667947.452
"400",399,-6091212793.00127
"417",416,30561105745.1041
"877",876,779932416817.203
"49",48,120407323048.344
"616",615,61860143993.3156
"942",941,669602419835.875
"189",188,-221365671112.123
"726",725,-154867647645.325
"925",924,314762725939.851
"748",747,254533704854.801
"355",354,149299091159.91
"797",796,137092339443.429
"565",564,255287914734.912
"809",808,125699536388.651
"326",325,-71421471727.2434
"55",54,-125635221251.149
"730",729,397190712749.231
"729",728,287149031543.467
"244",243,27789151313.5997
"443",442,213076527987.997
"388",387,-33598788725.3108
"576",575,-85020043133.3168
"558",557,101526651282.314
"190",189,49874710652.5973
"467",466,-52037431933.6745
"902",901,564518448793.97
"536",535,-12478757247.5641
"245",244,-201697212025.771
"621",620,-201518788239.378
"379",378,18699995816.1338
"613",612,284194591298.317
"755",754,138045949307.721
"816",815,222091743992.991
"392",391,-567360947087.527
"689",688,143038367913.646
"579",578,-24756271310.1231
"117",116,-152040995218.021
"277",276,-94350995036.0432
"888",887,799974958431.642
"325",324,-256792130947.802
"881",880,495173985643.335
"554",553,121532807139.11
"952",951,1065941911957
"552",551,-262698863480.925
"28",27,8905251368.89728
"824",823,341904903602.997
"660",659,244727599383.058
"858",857,367972929201.151
"665",664,450516298604.394
"184",183,-149489991556.176
"910",909,438768930750.053
"811",810,575946290242.4
"506",505,269074743390.413
"549",548,190196113526.892
"122",121,81467166373.9674
"128",127,-179224662356.854
"863",862,494632482053.446
"358",357,25678344230.4123
"723",722,484987461526.898
"161",160,-120334848351.613
"299",298,187397411574.733
"215",214,262837735200.074
"914",913,455899701155.754
"739",738,286229555833.638
"340",339,86266782237.7279
"854",853,503285325009.793
"735",734,632985639434.892
"423",422,215259882101.298
"673",672,288575934924.182
"363",362,278392025014.929
"921",920,405035803328.776
"669",668,282368913113.975
"568",567,190048325130.4
"384",383,-3720687927.26619
"265",264,42762242958.6607
"982",981,802207085556.918
"709",708,-243374370438.548
"365",364,98908292915.1375
"297",296,-172829865626.234
"790",789,120153590212.303
"7",6,-338448424863.419
"273",272,229339067729.767
"209",208,-116329397233.374
"136",135,202262258626.611
"22",21,97341860096.1571
"819",818,502502288076.136
"818",817,295530124508.53
"737",736,279784372308.534
"47",46,-182932374090.306
"350",349,-146416340536.441
"406",405,-143399303744.766
"635",634,152141043807.811
"855",854,548957605440.249
"518",517,58599729836.8824
"522",521,-65632797813.59
"337",336,-107419207547.116
"763",762,522274583436.282
"72",71,417415098601.774
"747",746,227281250489.779
"712",711,286503944627.119
"399",398,169816710966.516
"550",549,124062064673.595
"843",842,610757121972.842
"547",546,245473527474.656
"847",846,401028020568.762
"39",38,138505397411.27
"231",230,56408222759.0391
"18",17,231887703270.341
"303",302,54681259145.3715
"623",622,220424769184.92
"129",128,-50540655197.5018
"885",884,315554514900.862
"185",184,-17329167319.0726
"959",958,984952021145.465
"142",141,-109458585767.332
"636",635,135386604920.09
"523",522,58111718558.8736
"812",811,427562004257.557
"305",304,117421038464.021
"627",626,193764661234.2
"521",520,-15948794865.5326
"43",42,-184813874788.452
"320",319,196550377831.066
"425",424,441864670501.745
"13",12,295449688369.602
"420",419,-114032512042.851
"476",475,69956155870.1897
"478",477,-148422290372.119
"805",804,217178043271.934
"36",35,-2451067805.9835
"207",206,-70213321232.2515
"279",278,127237117726.695
"15",14,-449567579239.41
"321",320,-63631894716.2177
"898",897,460229549772.007
"770",769,420428352551.269
"968",967,512067240309.541
"702",701,402011079146.762
"162",161,-201530661644.974
"361",360,89774302271.5071
"777",776,838716825045.494
"378",377,-53553638154.4369
"960",959,634760991994.454
"310",309,263197838804.694
"983",982,1027450981188.22
"685",684,-90889544375.6814
"585",584,219201908946.671
"252",251,-223654812189.846
"152",151,8227503709.93025
"60",59,-329098817469.277
"563",562,138053303947.208
"33",32,-413431814692.856
"454",453,190919136935.62
"493",492,-109007444320.791
"103",102,-98250097220.0842
"970",969,1463513731446.11
"141",140,207171361581.748
"745",744,41059974253.2055
"125",124,-444005110169.569
"459",458,188113558057.719
"899",898,960892028274.848
"708",707,32809031260.3757
"618",617,-57980369822.1222
"302",301,-379318009141.084
"806",805,250764370987.446
"879",878,619623181074.248
"769",768,516042431837.381
"842",841,434218585983.879
"59",58,-81746994418.4957
"491",490,40404002337.2726
"992",991,562260357016.083
"468",467,117844919434.436
"822",821,318649044176.592
"148",147,216298183498.91
"275",274,142152373627.162
"693",692,604274310692.094
"587",586,145473853462.08
"64",63,-64008854863.1047
"479",478,507088827735.674
"225",224,-226870137842.374
"295",294,331243411361.335
"661",660,439710471774.534
"373",372,429338766430.38
"510",509,97592437350.8968
"150",149,290261926716.352
"561",560,414537798299.734
"94",93,-443609614621.845
"835",834,419435506679.581
"2",1,-185608826368.556
"781",780,784284334514.032
"837",836,478057003205.736
"228",227,-419346760869.398
"856",855,559503577108.123
"81",80,-105290263358.134
"291",290,-28992928807.5059
"793",792,688802777556.782
"750",749,882446878164.213
"124",123,219424098241.597
"450",449,-108421232097.847
"917",916,502122703604.125
"884",883,695647072952.163
"704",703,375497446707.818
"719",718,323548738527.456
"401",400,222000990930.59
"293",292,255933127187.345
"746",745,362636634842.663
"756",755,588778508453.748
"145",144,-11338743964.7043
"346",345,362286610421.111
"51",50,100344802409.376
"656",655,231856775444.431
"40",39,-226538619619.916
"546",545,-311337062658.703
"269",268,21551659005.393
"586",585,-138378919291.815
"740",739,420657103423.721
"760",759,-78130927463.4917
"482",481,-95591653104.3177
"520",519,80736106367.7799
"699",698,164624403750.795
"607",606,-5726448709.69958
"814",813,793776025875.695
