"","Wine.Color","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","Class"
"1","W",7.3,0.23,0.41,14.6,0.048,73,223,0.99863,3.16,0.71,9.4,"Bad"
"2","R",10,0.32,0.59,2.2,0.077,3,15,0.9994,3.2,0.78,9.6,"Bad"
"3","W",6.2,0.27,0.43,7.8,0.056,48,244,0.9956,3.1,0.51,9,"Bad"
"4","W",6.6,0.25,0.32,5.6,0.039,15,68,0.99163,2.96,0.52,11.1,"Good"
"5","W",6.9,0.24,0.39,1.3,0.063,18,136,0.9928,3.31,0.48,10.4,"Good"
"6","W",7.1,0.23,0.39,1.6,0.032,12,65,0.9898,3.25,0.4,12.7,"Good"
"7","R",7.8,0.52,0.25,1.9,0.081,14,38,0.9984,3.43,0.65,9,"Good"
"8","W",4.9,0.335,0.14,1.3,0.036,69,168,0.99212,3.47,0.46,10.46666667,"Good"
"9","W",6.8,0.19,0.33,4.9,0.047,42,130,0.99283,3.12,0.56,11,"Bad"
"10","W",6.6,0.22,0.37,15.4,0.035,62,153,0.99845,3.02,0.4,9.3,"Bad"
"11","W",6.8,0.37,0.28,1.9,0.024,64,106,0.98993,3.45,0.6,12.6,"Good"
"12","R",6.9,0.56,0.03,1.5,0.086,36,46,0.99522,3.53,0.57,10.6,"Bad"
"13","R",6.4,0.57,0.02,1.8,0.067,4,11,0.997,3.46,0.68,9.5,"Good"
"14","W",6.3,0.22,0.43,4.55,0.038,31,130,0.9918,3.35,0.33,11.5,"Good"
"15","R",8.8,0.6,0.29,2.2,0.098,5,15,0.9988,3.36,0.49,9.1,"Bad"
"16","W",6.8,0.2,0.25,6.2,0.052,22,106,0.9935,3.09,0.54,10.8,"Good"
"17","W",6.7,0.31,0.3,2.4,0.038,30,83,0.98867,3.09,0.36,12.8,"Bad"
"18","W",6.3,0.3,0.91,8.2,0.034,50,199,0.99394,3.39,0.49,11.7,"Good"
"19","R",7.2,0.34,0.24,2,0.071,30,52,0.99576,3.44,0.58,10.1,"Bad"
"20","W",6.5,0.27,0.4,10,0.039,74,227,0.99582,3.18,0.5,9.4,"Bad"
"21","W",6.8,0.28,0.29,11.9,0.052,51,149,0.99544,3.02,0.58,10.4,"Good"
"22","W",6.2,0.39,0.24,4.8,0.037,45,138,0.99174,3.23,0.43,11.2,"Good"
"23","R",6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,"Good"
"24","R",8.3,0.26,0.37,1.4,0.076,8,23,0.9974,3.26,0.7,9.6,"Bad"
"25","W",7.7,0.34,0.58,11.1,0.039,41,151,0.9978,3.06,0.49,8.6,"Bad"
"26","R",7.5,0.58,0.2,2,0.073,34,44,0.99494,3.1,0.43,9.3,"Bad"
"27","W",6.2,0.29,0.23,12.4,0.048,33,201,0.99612,3.11,0.56,9.9,"Bad"
"28","W",6.1,0.41,0.24,1.6,0.049,16,137,0.993,3.32,0.5,10.4,"Bad"
"29","W",7.1,0.34,0.2,6.1,0.063,47,164,0.9946,3.17,0.42,10,"Bad"
"30","W",6.7,0.18,0.24,10.3,0.057,64,185,0.99519,3.12,0.5,10.6,"Good"
"31","W",5.5,0.21,0.25,1.2,0.04,18,75,0.99006,3.31,0.56,11.3,"Bad"
"32","W",7.1,0.2,0.36,11.6,0.042,45,124,0.997,2.92,0.59,9.5,"Good"
"33","W",6.2,0.36,0.22,5.25,0.038,44,145,0.99184,3.22,0.4,11.2,"Bad"
"34","W",7.3,0.32,0.48,13.3,0.06,57,196,0.9982,3.04,0.5,9.2,"Bad"
"35","W",7.1,0.26,0.19,8.2,0.051,53,187,0.996,3.16,0.52,9.7,"Bad"
"36","W",7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,"Good"
"37","W",7.4,0.37,0.26,9.6,0.05,33,134,0.99608,3.13,0.46,10.4,"Bad"
"38","W",7.15,0.17,0.24,9.6,0.119,56,178,0.99578,3.15,0.44,10.2,"Bad"
"39","W",5.9,0.25,0.25,11.3,0.052,30,165,0.997,3.24,0.44,9.5,"Good"
"40","W",9.6,0.23,0.4,1.5,0.044,19,135,0.9937,2.96,0.49,10.9,"Bad"
"41","W",7.8,0.22,0.26,9,0.047,38,132,0.997,3.25,0.53,10.2,"Good"
"42","W",8,0.27,0.33,1.2,0.05,41,103,0.99002,3,0.45,12.4,"Bad"
"43","W",7,0.35,0.17,1.1,0.049,7,119,0.99297,3.13,0.36,9.7,"Good"
