ID,Alcoholic.Status
1,Y
2,Y
3,Y
4,N
5,N
6,N
7,N
8,Y
9,N
10,Y
11,Y
12,Y
13,Y
14,N
15,Y
16,N
17,N
18,Y
19,Y
20,Y
21,Y
22,Y
23,N
24,Y
25,Y
26,Y
27,Y
28,N
29,N
30,Y
31,Y
32,N
33,Y
34,Y
35,Y
36,Y
37,Y
38,Y
39,Y
40,Y
41,N
42,N
43,N
44,N
45,Y
46,N
47,N
48,N
49,Y
50,Y
51,Y
52,Y
53,N
54,N
55,N
56,N
57,Y
58,Y
59,N
60,N
61,N
62,Y
63,Y
64,Y
65,Y
66,N
67,N
68,Y
69,Y
70,N
71,N
72,Y
73,N
74,Y
75,Y
76,N
77,Y
78,N
79,N
80,Y
81,Y
82,N
83,N
84,N
85,Y
86,N
87,Y
88,N
89,Y
90,Y
91,N
92,N
93,Y
94,N
95,N
96,Y
97,N
98,Y
99,N
100,Y
101,Y
102,N
103,N
104,N
105,Y
106,N
107,Y
108,Y
109,N
110,Y
111,Y
112,Y
113,Y
114,Y
115,N
116,Y
117,Y
118,N
119,N
120,Y
121,N
122,N
123,N
124,N
125,N
126,N
127,N
128,N
129,N
130,Y
131,Y
132,Y
133,N
134,Y
135,N
136,Y
137,N
138,N
139,N
140,N
141,Y
142,Y
143,N
144,Y
145,N
146,Y
147,Y
148,Y
149,N
150,N
151,Y
152,Y
153,N
154,Y
155,N
156,Y
157,N
158,Y
159,N
160,Y
161,Y
162,Y
163,N
164,N
165,N
166,N
167,Y
168,Y
169,Y
170,Y
171,Y
172,N
173,Y
174,N
175,Y
176,Y
177,Y
178,N
179,Y
180,Y
181,Y
182,Y
183,N
184,Y
185,Y
186,N
187,Y
188,N
189,Y
190,N
191,N
192,Y
193,N
194,Y
195,N
196,N
197,Y
198,Y
199,N
200,N
201,Y
202,Y
203,Y
204,Y
205,N
206,N
207,N
208,Y
209,N
210,N
211,Y
212,N
213,Y
214,N
215,N
216,Y
217,N
218,Y
219,Y
220,N
221,N
222,Y
223,N
224,N
225,N
226,N
227,Y
228,Y
229,Y
230,N
231,Y
232,N
233,Y
234,N
235,Y
236,Y
237,Y
238,N
239,N
240,N
241,Y
242,Y
243,Y
244,Y
245,Y
246,N
247,N
248,Y
249,Y
250,Y
251,Y
252,N
253,N
254,N
255,N
256,Y
257,Y
258,Y
259,N
260,Y
261,N
262,N
263,Y
264,Y
265,N
266,Y
267,N
268,Y
269,Y
270,Y
271,Y
272,N
273,N
274,N
275,Y
276,N
277,N
278,N
279,N
280,Y
281,N
282,N
283,Y
284,Y
285,N
286,Y
287,Y
288,N
289,Y
290,N
291,N
292,N
293,N
294,N
295,N
296,Y
297,Y
298,Y
299,N
300,Y
301,N
302,Y
303,N
304,Y
305,Y
306,N
307,N
308,Y
309,N
310,Y
311,Y
312,N
313,Y
314,N
315,N
316,Y
317,N
318,Y
319,N
320,Y
321,Y
322,N
323,Y
324,N
325,N
326,N
327,Y
328,N
329,N
330,Y
331,N
332,Y
333,N
334,N
335,N
336,Y
337,Y
338,N
339,N
340,Y
341,N
342,N
343,Y
344,Y
345,Y
346,N
347,Y
348,Y
349,N
350,Y
351,N
352,Y
353,Y
354,N
355,Y
356,Y
357,N
358,Y
359,N
360,N
361,Y
362,Y
363,N
364,Y
365,Y
366,Y
367,N
368,N
369,N
370,Y
371,N
372,Y
373,N
374,Y
