"","Wine.Color","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","Class"
"1","R",8.6,0.45,0.31,2.6,0.086,21,50,0.9982,3.37,0.91,9.9,"Good"
"2","W",6.9,0.25,0.24,3.6,0.057,13,85,0.9942,2.99,0.48,9.5,"Bad"
"3","W",8.1,0.2,0.28,0.9,0.023,49,87,0.99062,2.92,0.36,11.1,"Good"
"4","R",7.8,0.56,0.19,2.1,0.081,15,105,0.9962,3.33,0.54,9.5,"Bad"
"5","W",6.3,0.35,0.3,5.7,0.035,8,97,0.9927,3.27,0.41,11,"Good"
"6","W",6,0.27,0.15,1.5,0.056,35,128,0.9936,3.12,0.45,8.8,"Good"
"7","R",6.3,0.47,0,1.4,0.055,27,33,0.9922,3.45,0.48,12.3,"Bad"
"8","W",7.4,0.27,0.26,11.8,0.053,55,173,0.99699,3.11,0.6,9.8,"Good"
"9","W",6.1,0.34,0.29,2.2,0.036,25,100,0.98938,3.06,0.44,11.8,"Good"
"10","W",6.4,0.17,0.32,2.4,0.048,41,200,0.9938,3.5,0.5,9.7,"Bad"
"11","W",6.3,0.19,0.29,2,0.022,33,96,0.98902,3.04,0.54,12.8,"Good"
"12","R",7.3,0.74,0.08,1.7,0.094,10,45,0.99576,3.24,0.5,9.8,"Good"
"13","R",8.7,0.78,0.51,1.7,0.415,12,66,0.99623,3,1.17,9.2,"Bad"
"14","R",6.8,0.77,0,1.8,0.066,34,52,0.9976,3.62,0.68,9.9,"Good"
"15","W",7.5,0.26,0.3,4.6,0.027,29,92,0.99085,3.15,0.38,12,"Good"
"16","W",7.7,0.28,0.29,4.3,0.051,25,142,0.9939,3.16,0.39,10.2,"Bad"
"17","W",7.5,0.23,0.49,7.7,0.049,61,209,0.9941,3.14,0.3,11.1,"Good"
"18","W",7.8,0.25,0.28,7.2,0.04,46,179,0.99541,3.14,0.6,10.1,"Bad"
"19","W",6.6,0.4,0.46,6.2,0.056,42,241,0.9968,3.5,0.6,9.9,"Bad"
"20","W",6,0.26,0.18,7,0.055,50,194,0.99591,3.21,0.43,9,"Bad"
"21","W",7.7,0.46,0.18,3.3,0.054,18,143,0.99392,3.12,0.51,10.8,"Bad"
"22","W",5.2,0.36,0.02,1.6,0.031,24,104,0.9896,3.44,0.35,12.2,"Good"
"23","W",8.3,0.14,0.34,1.1,0.042,7,47,0.9934,3.47,0.4,10.2,"Good"
"24","W",7.1,0.12,0.32,9.6,0.054,64,162,0.9962,3.4,0.41,9.4,"Bad"
"25","W",6.7,0.47,0.29,4.75,0.034,29,134,0.99056,3.29,0.46,13,"Good"
"26","W",7.2,0.23,0.39,2.3,0.033,29,102,0.9908,3.26,0.54,12.3,"Good"
"27","W",5.3,0.21,0.29,0.7,0.028,11,66,0.99215,3.3,0.4,9.8,"Bad"
"28","W",6.7,0.22,0.37,1.6,0.028,24,102,0.9913,3.29,0.59,11.6,"Good"
"29","W",7.4,0.25,0.36,2.05,0.05,31,100,0.992,3.19,0.44,10.8,"Bad"
"30","W",6.2,0.35,0.29,3.9,0.041,22,79,0.99005,3.1,0.59,12.06666667,"Bad"
"31","W",6.7,0.21,0.32,5.4,0.047,29,140,0.995,3.39,0.46,9.7,"Bad"
"32","W",10,0.91,0.42,1.6,0.056,34,181,0.9968,3.11,0.46,10,"Bad"
"33","W",7,0.12,0.29,10.3,0.039,41,98,0.99564,3.19,0.38,9.8,"Good"
"34","W",7.4,0.26,0.29,3.7,0.048,14,73,0.9915,3.06,0.45,11.4,"Bad"
